rank,Country,worldPercentage,growthRate,density,CCA3,Capital,Continent,2023 Population,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²)
1,India,17.761014092942602,0.0081,480.5033,IND,New Delhi,Asia,1428627663.0,1417173173.0,1396387127.0,1322866505.0,1240613620.0,1059633675.0,0.0,0.0,557501301.0,3287590.0
2,China,17.724260582777564,-0.0002,151.2696,CHN,Beijing,Asia,1425671352.0,1425887337.0,1424929781.0,1393715448.0,1348191368.0,1264099069.0,1153704252.0,982372466.0,822534450.0,9706961.0
3,United States,4.22691223430065,0.005,37.1686,USA,"Washington, D.C.",North America,339996563.0,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0
4,Indonesia,3.450365395951633,0.0074,147.8196,IDN,Jakarta,Asia,277534122.0,275501339.0,271857970.0,259091970.0,244016173.0,214072421.0,182159874.0,148177096.0,115228394.0,1904569.0
5,Pakistan,2.9897707229882853,0.0198,311.9625,PAK,Islamabad,Asia,240485658.0,235824862.0,227196741.0,210969298.0,194454498.0,154369924.0,115414069.0,80624057.0,59290872.0,881912.0
6,Nigeria,2.7823885298921534,0.0241,245.7312,NGA,Abuja,Africa,223804632.0,218541212.0,208327405.0,183995785.0,160952853.0,122851984.0,95214257.0,72951439.0,55569264.0,923768.0
7,Brazil,2.6906115659018353,0.0052,25.8936,BRA,Brasilia,South America,216422446.0,215313498.0,213196304.0,205188205.0,196353492.0,175873720.0,150706446.0,122288383.0,96369875.0,8515767.0
8,Bangladesh,2.150206227103059,0.0103,1328.6803,BGD,Dhaka,Asia,172954319.0,171186372.0,167420951.0,157830000.0,148391139.0,129193327.0,107147651.0,83929765.0,67541860.0,147570.0
9,Russia,1.795764118453207,-0.0019,8.82,RUS,Moscow,Europe,144444359.0,144713314.0,145617329.0,144668389.0,143242599.0,146844839.0,148005704.0,138257420.0,130093010.0,17098242.0
10,Mexico,1.5969879310701354,0.0075,66.0797,MEX,Mexico City,North America,128455567.0,127504125.0,125998302.0,120149897.0,112532401.0,97873442.0,81720428.0,67705186.0,50289306.0,1964375.0
11,Ethiopia,1.573012306845268,0.0255,112.1126,ETH,Addis Ababa,Africa,126527060.0,123379924.0,117190911.0,102471895.0,89237791.0,67031867.0,47878073.0,34945469.0,28308246.0,1104300.0
12,Japan,1.5328245698231973,-0.0053,338.2566,JPN,Tokyo,Asia,123294513.0,123951692.0,125244761.0,127250933.0,128105431.0,126803861.0,123686321.0,117624196.0,105416839.0,377930.0
13,Philippines,1.4587640297406115,0.0154,393.5251,PHL,Manila,Asia,117337368.0,115559009.0,112190977.0,103031365.0,94636700.0,77958223.0,61558898.0,48419546.0,37435586.0,342353.0
14,Egypt,1.4013175983045105,0.0156,113.2318,EGY,Cairo,Africa,112716598.0,110990103.0,107465134.0,97723799.0,87252413.0,71371371.0,57214630.0,43748556.0,34781986.0,1002450.0
15,DR Congo,1.2713537761531386,0.0329,45.1083,COD,Kinshasa,Africa,102262808.0,99010212.0,92853164.0,78656904.0,66391257.0,48616317.0,35987541.0,26708686.0,20151733.0,2344858.0
16,Vietnam,1.2290362630080949,0.0068,315.411,VNM,Hanoi,Asia,98858950.0,98186856.0,96648685.0,92191398.0,87411012.0,79001142.0,66912613.0,52968270.0,41928849.0,331212.0
17,Iran,1.1086155003241644,0.007,54.9601,IRN,Tehran,Asia,89172767.0,88550570.0,87290193.0,81790841.0,75373855.0,65544383.0,55793629.0,38520664.0,28449705.0,1648195.0
18,Turkey,1.0668859068857095,0.0056,109.5206,TUR,Ankara,Asia,85816199.0,85341241.0,84135428.0,79646178.0,73195345.0,64113547.0,54324142.0,44089069.0,35540990.0,783562.0
